Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Date and Time,Time (s),%VWC (Potting Soil) (%),%VWC (Mineral Soil) (%),%VWC (Rockwool) (%),Sensor Voltage Out (V)
04/06/2026 04:22:18 pm,0.000,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.100,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.200,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.300,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.400,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.500,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.600,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.700,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.800,50.0,50.0,75.0,1
04/06/2026 04:22:18 pm,0.900,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.000,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.100,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.200,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.300,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.400,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.500,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.600,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.700,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.800,50.0,50.0,75.0,1
04/06/2026 04:22:19 pm,1.900,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.000,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.100,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.200,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.300,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.400,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.500,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.600,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.700,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.800,50.0,50.0,75.0,1
04/06/2026 04:22:20 pm,2.900,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.000,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.100,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.200,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.300,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.400,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.500,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.600,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.700,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.800,50.0,50.0,75.0,1
04/06/2026 04:22:21 pm,3.900,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.000,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.100,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.200,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.300,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.400,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.500,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.600,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.700,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.800,50.0,50.0,75.0,1
04/06/2026 04:22:22 pm,4.900,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.000,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.100,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.200,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.300,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.400,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.500,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.600,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.700,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.800,50.0,50.0,75.0,1
04/06/2026 04:22:23 pm,5.900,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.000,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.100,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.200,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.300,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.400,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.500,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.600,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.700,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.800,50.0,50.0,75.0,1
04/06/2026 04:22:24 pm,6.900,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.000,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.100,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.200,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.300,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.400,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.500,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.600,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.700,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.800,50.0,50.0,75.0,1
04/06/2026 04:22:25 pm,7.900,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.000,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.100,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.200,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.300,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.400,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.500,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.600,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.700,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.800,50.0,50.0,75.0,1
04/06/2026 04:22:26 pm,8.900,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.000,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.100,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.200,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.300,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.400,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.500,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.600,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.700,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.800,50.0,50.0,75.0,1
04/06/2026 04:22:27 pm,9.900,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.000,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.100,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.200,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.300,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.400,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.500,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.600,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.700,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.800,50.0,50.0,75.0,1
04/06/2026 04:22:28 pm,10.900,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.000,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.100,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.200,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.300,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.400,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.500,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.600,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.700,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.800,50.0,50.0,75.0,1
04/06/2026 04:22:29 pm,11.900,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.000,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.100,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.200,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.300,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.400,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.500,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.600,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.700,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.800,50.0,50.0,75.0,1
04/06/2026 04:22:30 pm,12.900,50.0,50.0,75.0,1
04/06/2026 04:22:31 pm,13.000,50.0,50.0,75.0,1
04/06/2026 04:22:31 pm,13.100,50.0,50.0,75.0,1
